x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
x: -0.5957870965321694, y: -1.6747494161495122, z: -0.8784417055291622
x: -1.4268856384104804, y: 4.68180577084974, z: 0.9809678162601689
x: -1.095073937939618, y: 2.7104835384078565, z: -0.0702659400289447
x: -0.14786980981797074, y: -1.002348775787283, z: -1.8658215561658231
x: -0.9114738878448905, y: 0.6309326575087126, z: -0.6408019771391723
x: -1.0998110527976408, y: 1.5019226390372187, z: -1.1283976139198044
x: -1.3014472734203861, y: 1.7823396696731821, z: -0.9035758677012622
x: -1.428899407544943, y: 0.03362697998284894, z: -2.5774324021110013
x: -0.4557957525602138, y: 3.9287353280472628, z: -3.696236181206687
x: -0.4648018607407382, y: -0.39436203592266145, z: -0.8614263771519794
x: -1.404554495710012, y: 0.5216404455304074, z: -1.1337232822671903
x: -0.339170723203705, y: 0.7075173412673718, z: -1.1570651364576536
x: 0.5619075090172774, y: 0.09153526552774759, z: -3.5655209938628163
